Time	variable	value	Season
38.8	ProcessS	NA	Dec
38.8666666666667	ProcessS	NA	Dec
38.9333333333333	ProcessS	NA	Dec
39	ProcessS	NA	Dec
39.0666666666667	ProcessS	NA	Dec
39.1333333333333	ProcessS	NA	Dec
39.2	ProcessS	NA	Dec
39.2666666666667	ProcessS	NA	Dec
39.3333333333333	ProcessS	NA	Dec
39.4	ProcessS	NA	Dec
39.4666666666667	ProcessS	NA	Dec
39.5333333333333	ProcessS	NA	Dec
39.6	ProcessS	NA	Dec
39.6666666666667	ProcessS	NA	Dec
39.7333333333333	ProcessS	NA	Dec
39.8	ProcessS	NA	Dec
39.8666666666667	ProcessS	NA	Dec
39.9333333333333	ProcessS	NA	Dec
40	ProcessS	NA	Dec
0.0666666666666667	SWA	NA	Dec
0.133333333333333	SWA	NA	Dec
0.2	SWA	NA	Dec
0.266666666666667	SWA	NA	Dec
0.333333333333333	SWA	NA	Dec
0.4	SWA	NA	Dec
0.466666666666667	SWA	NA	Dec
0.533333333333333	SWA	NA	Dec
0.6	SWA	NA	Dec
0.666666666666667	SWA	NA	Dec
0.733333333333333	SWA	NA	Dec
0.8	SWA	NA	Dec
0.866666666666667	SWA	NA	Dec
0.933333333333333	SWA	NA	Dec
1	SWA	NA	Dec
1.06666666666667	SWA	NA	Dec
1.13333333333333	SWA	NA	Dec
1.2	SWA	NA	Dec
1.26666666666667	SWA	NA	Dec
1.33333333333333	SWA	NA	Dec
1.4	SWA	NA	Dec
1.46666666666667	SWA	NA	Dec
1.53333333333333	SWA	NA	Dec
1.6	SWA	NA	Dec
1.66666666666667	SWA	NA	Dec
1.73333333333333	SWA	NA	Dec
1.8	SWA	NA	Dec
1.86666666666667	SWA	NA	Dec
1.93333333333333	SWA	NA	Dec
2	SWA	NA	Dec
2.06666666666667	SWA	NA	Dec
2.13333333333333	SWA	NA	Dec
2.2	SWA	NA	Dec
2.26666666666667	SWA	NA	Dec
2.33333333333333	SWA	NA	Dec
2.4	SWA	NA	Dec
2.46666666666667	SWA	NA	Dec
2.53333333333333	SWA	NA	Dec
2.6	SWA	NA	Dec
2.66666666666667	SWA	NA	Dec
2.73333333333333	SWA	NA	Dec
2.8	SWA	NA	Dec
2.86666666666667	SWA	NA	Dec
2.93333333333333	SWA	NA	Dec
3	SWA	NA	Dec
3.06666666666667	SWA	NA	Dec
3.13333333333333	SWA	NA	Dec
3.2	SWA	NA	Dec
3.26666666666667	SWA	NA	Dec
3.33333333333333	SWA	NA	Dec
3.4	SWA	NA	Dec
3.46666666666667	SWA	NA	Dec
3.53333333333333	SWA	NA	Dec
3.6	SWA	NA	Dec
3.66666666666667	SWA	NA	Dec
3.73333333333333	SWA	NA	Dec
3.8	SWA	NA	Dec
3.86666666666667	SWA	NA	Dec
3.93333333333333	SWA	NA	Dec
4	SWA	NA	Dec
4.06666666666667	SWA	NA	Dec
4.13333333333333	SWA	NA	Dec
4.2	SWA	NA	Dec
4.26666666666667	SWA	NA	Dec
4.33333333333333	SWA	NA	Dec
4.4	SWA	NA	Dec
4.46666666666667	SWA	NA	Dec
4.53333333333333	SWA	NA	Dec
4.6	SWA	NA	Dec
4.66666666666667	SWA	NA	Dec
4.73333333333333	SWA	NA	Dec
4.8	SWA	NA	Dec
4.86666666666667	SWA	NA	Dec
4.93333333333333	SWA	NA	Dec
5	SWA	NA	Dec
5.06666666666667	SWA	NA	Dec
5.13333333333333	SWA	NA	Dec
5.2	SWA	NA	Dec
5.26666666666667	SWA	NA	Dec
5.33333333333333	SWA	NA	Dec
5.4	SWA	NA	Dec
5.46666666666667	SWA	NA	Dec
